id,naslov,cena,velikost,prodajalec
6059820,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠÈAD - RAZGLED",164900.00,74.10,"JA Invest, d.o.o."
5967369,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",163642.63,82.84,LIN nepremiènine d.o.o.
5967381,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",163240.00,74.42,LIN nepremiènine d.o.o.
6054214,LJ. ŠIŠKA,162600.00,84.10,"Stoja trade, d.o.o., Ljubljana"
6058751,"LJ. CENTER, BREG",162500.00,54.00,FIRMA nepremiènine Martinoviæ & Co. k.d.
6053694,LJ. ŠIŠKA,162200.00,91.70,"Stoja trade, d.o.o., Ljubljana"
5990842,"LJ. CENTER, STARA",162000.00,54.00,Zasebna ponudba
5967371,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",161922.81,79.69,LIN nepremiènine d.o.o.
5967367,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",161070.00,81.07,LIN nepremiènine d.o.o.
6052812,"LJ. CENTER, ZRAVEN VILE URBANA SAMOSTOJNI",161000.00,50.00,Zasebna ponudba
6053692,LJ. ŠIŠKA,161000.00,76.50,"Stoja trade, d.o.o., Ljubljana"
6044178,"DOBRUNJE, PODMOLNIK - ZAVRŠJE",160000.00,110.00,"24-ur.eu, Dean Daraboš s.p."
5982626,FUŽINE,160000.00,87.00,Gradex nepremiènine d.o.o.
6031488,"LJ. VIÈ, TRNOVO",160000.00,76.00,"Abstract nepremiènine, Igor Kerin s.p."
5954285,ŠENTVID,160000.00,69.32,LJUBLJANA NEPREMIÈNINE d.o.o.
6051054,"LJ. BEŽIGRAD, REBOLJEVA ULICA",160000.00,78.50,Mernet d.o.o.
6054331,"LJ. MOSTE, ZALOG",160000.00,82.20,Rocco nepremiènine d.o.o.
6060613,"LJ. MOSTE, ŠTEPANJSKO NASELJE",160000.00,64.80,MESTO NEPREMIÈNIN d.o.o.
6050483,LJ. CENTER,160000.00,70.90,"Stoja trade, d.o.o., Ljubljana"
6058421,"ŠTEPANJA VAS, BILEÈANSKA ULICA 5",160000.00,65.00,Zasebna ponudba
5935461,LJ. BEŽIGRAD,160000.00,78.80,Domart RE d.o.o.
6050862,"BROD, SOSESKA OSMICA",159533.00,48.81,Medvešek Pušnik Nepremiènine d.o.o.
6049562,"LJ. MOSTE, FUŽINE, RUSJANOV TRG",159000.00,74.20,Studio modul d.o.o.
6051798,"LJ. BEŽIGRAD, MAROLTOVA UL.",159000.00,77.70,"MA - nepremièninska družba, Marko Aliè s.p."
6031712,DRAVLJE,159000.00,79.80,Optima nepremiènine d.o.o.
6056330,"LJ. CENTER, GRADIŠÈE",159000.00,70.00,ALEA nepremièninska družba d.o.o.
6058042,"LJ. ŠIŠKA, DRAVLJE",159000.00,76.60,MESTO NEPREMIÈNIN d.o.o.
6060947,BROD,159000.00,57.80,Zasebna ponudba
6004359,"LJ. MOSTE, LE STRELJAJ OD CENTRA",159000.00,69.00,Zasebna ponudba
6053693,LJ. ŠIŠKA,158500.00,74.30,"Stoja trade, d.o.o., Ljubljana"
6030279,ÈRNUÈE,158000.00,85.10,LJUBLJANA NEPREMIÈNINE d.o.o.
6044606,LJ. ŠIŠKA,158000.00,79.10,Rocco nepremiènine d.o.o.
6051130,"LJ. BEŽIGRAD, ÈRNUÈE, POLANŠKOVA",158000.00,85.12,Mernet d.o.o.
6040723,ÈRNUÈE,158000.00,85.12,PAK INVEST d.o.o.
6058217,"ZG. ŠIŠKA, CELOVŠKA CESTA, BLIŽINA LPP",157000.00,63.00,Rojal invest d.o.o.
6042145,ÈRNUÈE,157000.00,85.10,"STAN nepremiènine d.o.o., Ljubljana"
6053697,LJ. ŠIŠKA,156700.00,91.70,"Stoja trade, d.o.o., Ljubljana"
6054324,LJ. MOSTE,156000.00,62.70,SKYNEP nepremiènine d.o.o.
6054327,LJ. MOSTE,156000.00,65.50,SKYNEP nepremiènine d.o.o.
6059601,"LJ. ŠIŠKA, NASPROTI KINO",156000.00,82.50,"Lobodas, posredništvo in storitve d.o.o., PE Kostanjevica na Krki"
6059857,"LJ. ŠIŠKA, OBIRSKA ULICA",156000.00,82.00,"Lobodas, posredništvo in storitve d.o.o., PE Kostanjevica na Krki"
6061164,"LJ. CENTER, KOLODVORSKA ULICA",156000.00,56.20,COOP nepremiènine d.o.o.
6060003,"LJ. CENTER, - NOVE POLJANE",156000.00,42.20,Zasebna ponudba
6019975,LJ. CENTER,155000.00,65.70,Agencia d.o.o.
6017955,"LJ. BEŽIGRAD, DUNAJSKA",155000.00,96.50,METROPOLA IN d.o.o.
6043150,"LJ. MOSTE, KODELJEVO",155000.00,69.60,MESTO NEPREMIÈNIN d.o.o.
6022395,"LJ. CENTER, GORNJI TRG",155000.00,65.70,Rocco nepremiènine d.o.o.
6003202,LJ. CENTER,155000.00,65.70,Novi list d.o.o.
6013598,"LJ. ŠIŠKA, GOSPODINJSKA ULICA",155000.00,102.30,"Salomon nepremiènine, Anže Nahtigal, s.p."
6042426,"LJ. MOSTE, KODELJEVO",155000.00,67.50,LJUBLJANA NEPREMIÈNINE d.o.o.
6022573,"TACEN, ODLIÈNA, ATRIJ",155000.00,97.74,"REMAX Vogal, Nepremièninska družba, d.o.o."
6058035,"LJ. CENTER, SLOMŠKOVA ULICA",155000.00,61.63,Nepremiènine in cenitve Mitnica Uroš Jere s.p.
